DOMAIN,CDN,CNAME,IP
webmail.hulu.com,No,"['mail.office365.com.', 'outlook.office365.com.', 'outlook.ha.office365.com.', 'outlook.ms-acdc.office.com.', 'HKG-efz.ms-acdc.office.com.']","['40.100.54.2', '40.100.54.34', '52.98.40.66', '52.98.77.98']"
i.hulu.com,Yes,"['spotify-customer.ava.hulu.com.', 'diproton-subpay-prod-us-east-1.hulu.com.akadns.net.']","['3.220.99.100', '3.226.93.108', '34.235.19.163']"
dl.hulu.com,Yes,"['origin-dl.hulu.com.akadns.net.', 'origin-dl.aor.hulu.com.', 'diproton-exp-prod-us-west-2.hulu.com.akadns.net.']","['34.213.149.96', '34.216.110.194', '44.224.177.136']"
mail.hulu.com,No,['ghs.google.com.'],['172.217.1.19']
docs.hulu.com,No,['ghs.google.com.'],['172.217.1.19']
msoid.hulu.com,No,"['clientconfig.microsoftonline-p.net.', 'a.privatelink.msidentity.com.', 'prda.aadg.msidentity.com.', 'www.tm.a.prd.aadg.trafficmanager.net.']","['20.190.151.133', '20.190.151.134', '20.190.151.6', '20.190.151.67', '20.190.151.68', '20.190.151.69', '20.190.151.7', '20.190.151.70']"
home.hulu.com,Yes,"['origin-home.hulu.com.', 'origin-home.hulu.com.akadns.net.', 'home.aor.hulu.com.', 'diproton-usr-prod-us-west-2.hulu.com.akadns.net.']","['34.212.111.15', '34.217.225.30', '52.43.192.37']"
calendar.hulu.com,No,['ghs.google.com.'],['172.217.1.19']
help.hulu.com,Yes,"['help.hulu.com.00d410000005saieaq.live.siteforce.com.', '75520.communities.salesforce.cdn.edgekey.net.', 'e27843.dsca.akamaiedge.net.', 'e27843.dsca.akamaiedge.net.0.1.cn.akamaiedge.net.']","['23.213.2.43', '23.213.2.96']"
auth.hulu.com,Yes,"['auth.huluipv6.com.akadns.net.', 'dualstack.hulu.map.fastly.net.']",['151.101.109.87']
community.hulu.com,Yes,"['community.hulu.com.00d410000005saieaq.live.siteforce.com.', '4.0p11l000000cbglsak.00d410000005saieaq.gslb.siteforce.com.']",['13.109.144.43']
press.hulu.com,No,['press-hulu-com.go-vip.net.'],['192.0.66.112']
careers.hulu.com,Yes,"['careers-hulu-com.talentbrew.com.', 'careers.hulu.com.edgekey.net.', 'e36195.b.akamaiedge.net.']","['23.44.51.163', '23.44.51.177']"
vpn.hulu.com,Yes,"['vpn-geo.hulu.com.akadns.net.', 'vpn-geo.bjn.hulu.com.akadns.net.', 'vpn.las.hulu.com.', 'vpn7.hulu.com.']",['8.28.125.5']
sip.hulu.com,No,['sipdir.online.lync.com.'],['52.113.64.147']
u.hulu.com,Yes,"['redirect.huluqa.com.', 'hulu.map.fastly.net.']",['151.101.229.87']
go.hulu.com,No,"['go.pardot.com.', 'pi.pardot.com.', 'pi-ue1.pardot.com.', 'pi.t.pardot.com.', 'pi-ue1-lba1.pardot.com.']",['52.202.69.186']
lyncdiscover.hulu.com,No,['webdir.online.lync.com.'],['52.113.64.150']
tw.i.hulu.com,Yes,"['tw.i.hulu.com.edgesuite.net.', 'a1280.b.akamai.net.']","['23.199.54.59', '23.199.54.74']"
c.p.hulu.com,Yes,"['origin-c.p.hulu.com.', 'origin-c.p.hulu.com.akadns.net.']",['208.91.159.75']
www.vip.hulu.com,No,['vip.hulu.com.'],['199.60.116.128']
