IP,frequency,active
8.28.125.0/24,2,"['8.28.125.69', '8.28.125.60']"
199.60.116.0/24,2,"['199.60.116.128', '199.60.116.113']"
208.91.157.0/24,2,"['208.91.157.31', '208.91.157.134']"
208.91.159.0/24,1,['208.91.159.190']
199.200.49.0/24,1,['199.200.49.252']
